service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
15423_20251214,1,1,1,1,1,1,1,20251214,20261212
15424_20251214,1,1,1,1,1,0,0,20251214,20261212
15425_20251225,1,1,1,1,1,0,0,20251225,20261212
15426_20251225,1,1,1,1,1,1,1,20251225,20261212
15427_20260101,1,1,1,1,1,0,0,20260101,20261212
15428_20251214,1,1,1,1,1,0,0,20251214,20261212
15429_20251214,1,1,1,1,1,1,1,20251214,20261212
15431_20260101,1,1,1,1,1,0,0,20260101,20261212
15433_20251225,1,1,1,1,1,0,0,20251225,20261212
15500_20251226,1,1,1,1,1,1,1,20251226,20261212
15501_20260206,1,1,1,1,1,1,1,20260206,20261212
15502_20251214,1,1,1,1,1,0,0,20251214,20261212
15503_20251226,1,1,1,1,1,1,1,20251226,20260401
15503_20260402,1,1,1,1,1,1,1,20260402,20261212
15504_20251214,1,1,1,1,1,0,0,20251214,20261212
15505_20251214,1,1,1,1,1,1,0,20251214,20260401
15505_20260402,1,1,1,1,1,1,0,20260402,20261212
15506_20251214,1,1,1,1,1,1,0,20251214,20261212
15507_20251214,1,1,1,1,1,0,0,20251214,20261212
15508_20251214,1,1,1,1,1,0,0,20251214,20261212
15509_20251226,1,1,1,1,1,1,1,20251226,20261212
15510_20251226,1,1,1,1,1,1,1,20251226,20261212
15511_20251214,1,1,1,1,1,0,0,20251214,20260401
15511_20260402,1,1,1,1,1,0,0,20260402,20261212
15512_20251214,1,1,1,1,1,0,0,20251214,20261212
15513_20251214,0,1,0,1,0,1,1,20251214,20260401
15513_20260402,1,1,1,1,1,1,1,20260402,20261212
15514_20251214,1,1,1,1,1,1,1,20251214,20260401
15514_20260402,1,1,1,1,1,1,1,20260402,20261212
15515_20251214,1,1,1,1,1,1,1,20251214,20261212
15516_20251214,1,1,1,1,1,1,1,20251214,20261212
15517_20251214,1,1,1,1,1,0,0,20251214,20260401
15517_20260402,1,1,1,1,1,0,0,20260402,20261212
15518_20251214,1,1,1,1,1,0,0,20251214,20261212
15519_20251214,0,1,0,1,0,1,1,20251214,20260401
15519_20260402,1,1,1,1,1,1,1,20260402,20261212
15520_20251214,1,1,1,1,1,1,1,20251214,20260401
15520_20260402,1,1,1,1,1,1,1,20260402,20261212
15521_20251214,1,1,1,1,1,1,1,20251214,20260401
15521_20260402,1,1,1,1,1,1,1,20260402,20261212
15522_20251214,1,1,1,1,1,1,1,20251214,20261212
