stop_id,stop_code,stop_name,tts_stop_name,stop_lat,stop_lon,wheelchair_boarding,location_type,parent_station,platform_code
140217,140217,AMORA (R 1º MAIO 40) CEMITÉRIO,Amóra ( Rua Primeiro De Maio Número 40 ) Cemitério,38.627021,-9.11852,0,0,,
140218,140218,AMORA (R 1º MAIO 40) CEMITÉRIO,Amóra ( Rua Primeiro De Maio Número 40 ) Cemitério,38.626944,-9.118655,0,0,,
140219,140219,AMORA (AV SILVA GOMES N78),Amóra ( Avenida Silva Gomes ( Número 78 ) ),38.625937,-9.110379,0,0,,
140220,140220,AMORA (AV SILVA GOMES N78),Amóra ( Avenida Silva Gomes ( Número 78 ) ),38.625879,-9.110496,0,0,,
140221,140221,FOGUETEIRO R MOV FORÇ ARM 95A (CORRER D'ÁGUA),Fogueteiro Rua Movimento Das Forças Armadas 95 Á ( Correr D'água ),38.620826,-9.110603,0,0,,
140222,140222,FOGUETEIRO R MOV FORÇ ARM 95A (CORRER D'ÁGUA)),Fogueteiro Rua Movimento Das Forças Armadas 95 Á ( Correr D'água ) ),38.621008,-9.110757,0,0,,
140223,140223,FOGUETEIRO (R MOV FORÇ ARM 23) FARMÁCIA,Fogueteiro ( Rua Movimento Das Forças Armadas 23 ) Farmácia,38.61864,-9.111392,0,0,,
140225,140225,"TORRE MARINHA AV RESIST ANTIFAS ",Torre Marinha Avenida Resistentes Antifascistas,38.615782,-9.108125,0,0,,
140226,140226,"TORRE MARINHA AV RESIST ANTIFAS ",Torre Marinha Avenida Resistentes Antifascistas,38.615893,-9.108726,0,0,,
140227,140227,TORRE MARINHA AV RESIS ANTIFASCIST 57,Torre Marinha Avenida Resistentes Antifascistas 57,38.617151,-9.105588,0,0,,
140228,140228,TORRE MARINHA AV RESIS ANTIFASCIST 57,Torre Marinha Avenida Resistentes Antifascistas 57,38.61757,-9.105785,0,0,,
140229,140229,TORRE MARINHA (AV REPÚBLICA) MATADOURO,Torre Marinha ( Avenida República ) Matadouro,38.622848,-9.105363,0,0,,
140231,140231,ARRENTELA AV REPÚBLICA 17 (X) PR LIBER,Arrentela ( Cruzamento Entre ( Avenida República 17 ) E Praça Liberdade ),38.627071,-9.104401,0,0,,
140232,140232,ARRENTELA AV REPÚBLICA 17 (X) PR LIBER,Arrentela ( Cruzamento Entre ( Avenida República 17 ) E Praça Liberdade ),38.626341,-9.104858,0,0,,
140233,140233,ARRENTELA (AV REPÚBLICA N23),Arrentela ( Avenida República ( Número 23 ) ),38.628904,-9.10476,0,0,,
